s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member
https://golemlab.eu/graph/20630324,9,Hook ups,Y/n was sitting alone inside a cafe till Kim Taehyung came along spiced things up during their meeting.,2019-09-13,868.0,Mature,F/M,Completed,Bathroom Sex | Casual Sex | Hot Sex | POV Female Character | Public Sex | Rough Sex | Top Kim Taehyung | V | Wet & Messy,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/16428209,9,The girl who had a choice.,"You are the descendant of a Pure-blooded family of Death Eaters and, most crucially, the daughter of Markus Harter, considered one of the most powerful wizards alive. As incredible as that might sound, it isn’t all that at all. Nobody knew what hid behind sealed doors, nobody knew what it was like to be who you were, nobody knew how much you’d suffered, what you’d been through. Everyone prejudged you because of that last name and you honestly couldn’t blame them, you yourself were terrified of it. You were home-schooled until the present day where, finally, your father let you attend Hogwarts. The thing is, you had completely been alienated from society all of your life. You don't know what to do. You are completely alone and lost in what seems to be a whole new world that you have yet to wander around and discover. But, you won’t do it alone. After meeting him at his mum’s pet store, Taehyung and you seem to always end up around each other which leads to the two of you becoming close rather quickly. Surely enough, getting there wouldn’t be easy but he always stayed by your side through your ups and downs. He’d be there to help you through, what you’d call, the hardest choice and time of your life...",2018-10-27,2388.0,Teen And Up Audiences,F/M,In-Progress,Adorable Kim Taehyung | V | Alternate Universe - Harry Potter Setting | Angst | Anxiety | Child Abuse | Emotional Hurt/Comfort | Fluff | Fluff and Angst | Friendship | Friendship/Love | Hufflepuff | Hufflepuff Kim Taehyung | V | Hurt/Comfort | Implied/Referenced Character Death | Kim Taehyung | V is a Sweetheart | Other Additional Tags to Be Added | Slow Burn | Slytherin | Social Anxiety | i'll try to not make it too slow don't worry,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/34448305,9,Long Day,Kim Taehyung comforts you after a hard week of dealing with anxiety and depression.,2021-10-12,806.0,Mature,F/M,Completed,Emotional Hurt/Comfort | Fluff and Hurt/Comfort | Hurt/Comfort | No Angst | Reader has depression & anxiety | Taehyung best husband,"Kim Taehyung | V/Reader, Kim Taehyung | V/You",taehyung
https://golemlab.eu/graph/26629954,9,Home,Just another unedited blurb...thanks for the read .,2020-09-24,3737.0,General Audiences,F/M,Completed,Reader-Insert | Sad | Single Parents,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/12377724,8,Summer Flings,Just a short one shot about the ending of a  sweet summer fling with Taehyung,2017-10-16,519.0,General Audiences,F/M,Completed,Angst | Fluff | Fluff and Angst | One Shot | Spring Fling | kpop,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/39001473,8,It's Definitely You,A short drabble in which Taehyung's significant other is jealous after the Grammy's.,2022-05-15,513.0,Not Rated,Gen,Completed,Domestic Fluff | Fluff | Fluff and Angst | Jealousy | Romance,"Kim Taehyung | V/Reader, Kim Taehyung | V/You",taehyung
https://golemlab.eu/graph/17589776,8,Hold Me Close,A cute fluff story about you (reader) and Taehyung. You two are already dating but his spontaneity never ceases to amaze you. In this one-shot you share a cute moment with Taehyung before his concert.,2019-01-29,622.0,Teen And Up Audiences,F/M,Completed,Boyfriends | Complete | Concerts | Cute | Fluff | Happy | Hugs | One Shot | Random & Short | Reader-Insert | Realistic | Romance | Romantic Fluff | Short & Sweet | Short One Shot,Kim Taehyung | V/You,taehyung
https://golemlab.eu/graph/35426458,8,For me || K.TH,Taehyung feels like he is not enough for his girlfriend but he is everything she could ask for.,2021-11-30,490.0,General Audiences,F/M,Completed,Angst | Fluff | Fluff and Angst | Idol Kim Taehyung | V,"Kim Taehyung | V/Reader, Kim Taehyung | V/You Series: BTS Writeups [2]",taehyung
https://golemlab.eu/graph/29361702,8,It's Just sex,,2021-02-14,1092.0,Explicit,F/M,Completed,Anal Sex | Blow Jobs | Cock Slut | Consensual Sex | Double Penetration | Implied/Referenced Cheating | One Shot | Oral Sex | Sex | Slut Shaming | Threesome - F/M/M | Tie Kink | Vaginal Fingering | Vaginal Sex,"Kim Taehyung | V/Reader, Park Jimin (BTS)/Reader",taehyung
https://golemlab.eu/graph/39907761,8,Summer Wine,"You are betrothed to Kim Taehyung - your childhood best friend. Yet, he is never around, busy with his revenge against the people who killed his family. You are left to do what you want in the years before the wedding. So you fill your time with short, meaningless affairs. Yet, your little fling with Park Jimin grows beyond a one-night-stand... But now you have to break up with Jimin. And Taehyung must not know... he must never find out that your heart is broken in two and the part that belongs to Jimin has grown so big, strong and demanding that you can hardly control it. You have to break up with Jimin. But would you have the will and the strength to say goodbye to the man you love...",2022-06-26,14638.0,Explicit,F/M,In-Progress,A LOT of Angst | Angst | Complicated Relationships | Established Relationship | Fluff and Smut | Forbidden Love | Friends to Lovers | Guilt | Light Dom/sub | Love Triangles | Mafia AU | Mafia BTS | Smut | Strangers to Lovers,"Kim Taehyung | V/Reader, Kim Taehyung | V/You, Park Jimin (BTS) & You, Park Jimin (BTS)/Reader Series: Prompt Based Short Stories [3]",taehyung
https://golemlab.eu/graph/33459826,8,BTS Song Fic (Blue and Grey) | KTH,Sad song. Sad story. Sad author. Happy reader? Based on eng. version of Blue & Grey that played during In the Soop.,2021-08-24,599.0,General Audiences,F/M,Completed,Angst | Depression | Emotional Hurt/Comfort | Hurt/Comfort | Songfic,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/11535222,8,Counting Stars,"Really it starts off as a sad story; your parents have gotten a divorce, and since you don't want to live with your dad in the United States,you have to move to your mother's hometown, which is all the way across the world. Even though you are only 12 when you move to Seoul, you have a harder time than expected. It's you and your mom against the world, until you meet a group of boys that seem to make everything about this awful predicament slightly better.",2017-07-18,4229.0,Teen And Up Audiences,F/M,In-Progress,Best Friends | Falling In Love | High School | Plot Twists,"Kim Taehyung | V/Reader, Min Yoongi | Suga/Park Jimin",taehyung
https://golemlab.eu/graph/29279046,8,,,,,,,,,,taehyung
https://golemlab.eu/graph/27497923,8,Kᴇᴇᴘ ɪᴛ ᴘʀᴏꜰᴇssɪᴏɴᴀʟ ǁ 𝗸.𝘁𝗵 𝘅 𝗿𝗲𝗮𝗱𝗲𝗿,"Your first day of work as Taehyung's secretary/ What could go wrong? ONE SHOT or Another cliche, cringe boss/secretary au i wrote at 3am. . This was my first ever fanfic, I kept it in my drafts for 9 months I think. Anyways, enjoy it ahaha",2020-11-10,1393.0,Teen And Up Audiences,F/M,Completed,Alternate Universe - Office | Boss Kim Taehyung | V | Boss/Employee Relationship | CEO Kim Taehyung | V | Dom Kim Taehyung | V | Kissing | My First Fanfic | One Shot | Rough Kissing | Secretary - Freeform | Secretary Reader,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/33722041,8,I'm a good boy,Written for someone on Twitter,2021-09-06,201.0,Explicit,F/M,Completed,Blow Jobs | Erotic Poetry | Licking | Love Poems | No Dialogue | Oral Sex | Reader-Insert | Short One Shot | Slut Shaming | Smut | Vaginal Sex,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/38878884,8,Everlast,"⟢ pairing: vampire!tae x human!reader ⟢ word count: 1,024 ⟢ genre + warnings: historical vampire au || nsfw 18+, minor angst, smut, fluff (smangst © & smluff © are we surprised?); major character ‘dying’ & blood consumption (vampire au so obvs, but i’d rather tag it to be safe than sorry), neck biting, unprotected sex, creampie, cuddling ⟢ summary: You seek out an Everlast that you have fallen for in the hopes that he can stop you from turning 30 & make you his forever. ⟢ an: hi, so this was inspired by a recent kmedia article that said they loved tae’s visuals and acting skills and would love to have him play in a drama and vampire would be a great role since he has the ability to be versatile aka the whiplash we suffer? they noticed it. so of course my ass couldn’t NOT get this thought out of my head. its short, but enjoy!",2022-05-09,1065.0,Not Rated,F/M,Completed,Angst | Blood | Creampie | Fangs | Fluff | Orgasm | Poetic | Smut | Vampire AU | castle - Freeform | climax | everlast | kim taehyung - Freeform,Kim Taehyung | V/Reader Series: The Everlast Series [1],taehyung
https://golemlab.eu/graph/18906286,8,Mess,"Crushes. People get them and it's either a cute, silly era or a horrible episode to their life. You had a crush. Taehyung was it. He was best friends with your older sister which meant constant visitations and wonderful moments forming between you two. It was a great time for you in which you thought you could look back on and cherish in the future. You know. Just a crush. Of course. Until Taehyung disappeared. Leaving with no word or traces of his whereabouts or why he suddenly disappeared. All you know is it crushed you. Now, it's been years since the disappearance and all has changed. All has changed and the new Taehyung could not have reappeared during any better time.",2019-05-31,8089.0,Not Rated,F/M,In-Progress,Anger | Family Issues | First Crush | First Love | Friendship | Hurt/Comfort | Jealousy | Love | Love/Hate | Past | Romance | Suffering,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/28196454,8,A New City,"Reader gets to know Kim Taehyung, a little too close, a little too soon. Some angst and sadness involved, as well as smut. Ends well.",2020-12-21,15700.0,Mature,F/M,Completed,,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/22326520,8,So This Is Love,here we have Taehyung as Cinderella,2020-01-20,2371.0,Teen And Up Audiences,F/M,In-Progress,Alternate Universe - Fairy Tale | Cinderella Elements | please be patient with me,Kim Taehyung | V/Reader Series: BTS as Disney Princes(ses) [2],taehyung
https://golemlab.eu/graph/24629854,8,TaeTae and the baker,"TaeTae fucks you, a baker.",2020-06-09,2087.0,Explicit,F/M,Completed,,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/23522926,8,,,,,,,,,,taehyung
https://golemlab.eu/graph/40963311,8,Outside,Taehyung's point of view during the time between Chapter 3 and Chapter 4 (Complete Faith). Requested by tumblr user @/pamzn. Alt summary: Taehyung's in his freaking feelings.,2022-08-11,2203.0,Teen And Up Audiences,F/M,Completed,Angst | Drinking | Explicit Language | literally that should just be the summary | taetae's in his feelings,Kim Taehyung | V/Reader Series: Complete Faith [2],taehyung
https://golemlab.eu/graph/38365663,8,Bri’s Interlude,Bri gets a lovely birthday gift from her bias  Taehyung.,2022-04-14,3311.0,Explicit,F/M,Completed,Birthday Sex | Choking | Dirty Talk | Dom/sub Undertones | Explicit Sexual Content | Foreplay | Kim Taehyung | V Has a Big Dick | Oral Sex | Porn With Plot | Sexual Tension | ambw,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/29856330,8,one last time,"loving taehyung was easy - way too easy. breaking up with him, though; that was the hardest part of it all. however, to keep you both sane, it was necessary - to keep you both emotionally healthy. now, the only problem of this was that you two were starring in the same series - where your characters were dating and crazily in love with each other.",2021-03-05,3618.0,Teen And Up Audiences,F/M,Completed,Actor Kim Taehyung | V | Alternate Universe - Not K-Pop Idols | Reader-Insert,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/40131528,8,The portrait,"You unexpectedly inherited the house from the grandfather you did not know. You want to sell it as quickly as possible but there is slight problem, house has a tenant and he does not have a warm feeling towards you.",2022-07-07,3859.0,Mature,F/M,Completed,Family Secrets | Fluff and Angst | Oral Sex | Smoking | Swearing | Vaginal Sex,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/6918088,8,Farewell,"What are you without the love of your life? They say when you die, you see your life flash before your eyes until the light goes out.",2016-05-21,2023.0,Teen And Up Audiences,F/M,Completed,Angst | Fluff | One Shot,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/40262532,8,Blurred limits,When your best friend calls because he needs to relax and get away from stress you don't hesitate to follow him on a chilled trip. A wonderful day ending a bit different from what you intended ...,2022-07-12,1474.0,Explicit,F/M,Completed,,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/13358700,8,édition doux de tentation.,"temp·ta·tion tem(p)ˈtāSH(ə)n/ noun noun: temptation; plural noun: temptations a desire to do something, especially something wrong or unwise. a thing or course of action that attracts or tempts someone.",2018-01-13,1198.0,Explicit,M/M,In-Progress,Abuse | Alternate Universe - Paris | Black Character(s) | Childhood Sexual Abuse | Flirting | France (Country) | Racist Language | Stripper Kim Taehyung | V | Temptation,Kim Taehyung | V/Reader,taehyung
