s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member,members_found
https://golemlab.eu/graph/22383937,9,Cheater,None,2020-01-24,983,General Audiences,F/M,Completed,,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/39743820,9,platonically fighting,What happens when the best friends who always get along get into their first fight?,2022-06-20,3950,Mature,F/M,Completed,Angst | Best Friends | Childhood Friends | Fluff | Friends to Lovers | Past Relationship(s),Kim Seokjin | Jin/Reader Series: The Platonic Collection [2],seokjin,{'seokjin'}
https://golemlab.eu/graph/33148198,9,Boredom Brat,Jin is getting a little bored at home and decides to give bratting a try,2021-08-10,2322,Explicit,F/M,Completed,Bratting | Dom/sub | Domme | Kim Seokjin | Jin is a Brat | Kim Seokjin | Jin-centric | soft domme,Kim Seokjin | Jin/Reader Series: Bratty Boys [1],seokjin,{'seokjin'}
https://golemlab.eu/graph/23751109,9,ours,Enjoy some quarantine blues that have been sitting in my drafts for years,2020-04-20,718,Teen And Up Audiences,F/M,Completed,Angst | Kim Seokjin | Jin is a Sweetheart | Sad Fluff | barren reader | i will never learn to tag lol,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/12997701,9,Snow,"The cold could make you so happy yet sad as well, why is it you love the snow?",2017-12-12,1833,General Audiences,F/F,Completed,Fluff,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/35197507,9,To love you is a sin,"For years, you never had a problem loving him one sided but that you catch him, it's time for you to move on. But perhaps not so easily.",2021-11-18,4076,Teen And Up Audiences,F/M,In-Progress,Age Difference | Cliche | Drunk Kim Seokjin | Jin | Jimin is your best friend | Kim Seokjin | Jin is Bad at Feelings | Love Confessions | Not Beta Read | Park Jimin is Trying His Best (BTS) | Possessive Kim Seokjin | Jin | Top Kim Seokjin | Jin | Unrequited Love | We Die Like Men | i always wanted to use this hashtag | maybe smut | not actually | you have a crush on jin,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/13920066,8,Awake,"You woke up suddenly, tears in your eyes. Why. Why did this keep playing on repeat? It was too painful to think of. He wasn’t with you anymore… he had decided to move on. It wasn’t fair for you to hold on those memories now that the person who made them had left you.",2018-03-09,2073,Teen And Up Audiences,F/M,Completed,,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/27582434,8,Home,You tear down the old tree house of your youth on Seokjin’s yard. Pairing: Jin x Reader Genre: Angst,2020-11-16,3227,Teen And Up Audiences,F/M,Completed,Angst | Childhood Friends | Childhood Memories | Homecoming | Homelessness | Kim Seokjin | Jin is Whipped | Longing | Mutual Pining | Nostalgia,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You",seokjin,{'seokjin'}
https://golemlab.eu/graph/35477890,8,LOVE QUIDDITCH,It was all Jimin’s fault. You never trust a Slytherin.,2021-12-03,4880,Teen And Up Audiences,F/M,In-Progress,Alternate Universe - Harry Potter Setting | Alternate Universe - Hogwarts | Enemies to Lovers | Fluff and Humor | Gryffindor Kim Namjoon | RM | Gryffindor Kim Seokjin | Jin | Hufflepuff Jung Hoseok | J-Hope | Hufflepuff Kim Taehyung | V | Jeon Jungkook & Park Jimin are Best Friends | Kim Namjoon | RM is a Dork | Kim Seokjin | Jin is Whipped | Min Yoongi | Suga is So Done | Park Jimin is a Little Shit (BTS) | Ravenclaw Jeon Jungkook | Slytherin Min Yoongi | Suga | Slytherin Park Jimin (BTS) | Slytherin Reader,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/17234204,8,Untold Truths,( ͡° ͜ʖ ͡°),2018-12-31,982,Teen And Up Audiences,M/M,Completed,Angst | Kim Seokjin steals your coffee mug | Mild Language | Slice of Life | and your dad’s heart | nsfw implied,Kim Seokjin | Jin/Your Dad,seokjin,{'seokjin'}
https://golemlab.eu/graph/21642439,8,Jintopia,A relaxing Sunday with your boyfriend,2019-12-02,850,General Audiences,Gen,Completed,Chef Seokjin | Him being a cute bub just for his partner | Just a cute lil Jin fluff | adorable sleepy morning moment | seokjin being an absolute sweetheart | tho he’s just making pancakes,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/39743565,8,platonically caught,"Jimin’s hay maze was not designed for this purpose, but who’s really going to stop you and Seokjin?",2022-06-23,1593,Explicit,F/M,Completed,Angst | Childhood Friends | Dom Kim Seokjin | Jin | Fingering | Fluff | Friends to Lovers | Kim Seokjin is a Brat Tamer | Making Out | Public lewdness | Smut,Kim Seokjin | Jin/Reader Series: The Platonic Collection [2],seokjin,{'seokjin'}
https://golemlab.eu/graph/17692169,8,Forbidden love,Jin x y/n have a passion so intense it cannot be contained...,2019-02-07,523,Explicit,M/M,Completed,Anal Fingering | Anal Fisting | Anal Gaping | Anal Play | Anal Sex | Double Anal Penetration | Fluff | Fluff and Smut | Smut,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/29902692,8,Let's Go Out,"You want to see a film with Jin but he just wants to stay inside and doesn’t want to be convinced otherwise, his words get a little harsh and you can’t handle it.",2021-03-07,851,General Audiences,F/M,Completed,Anger | Angst | Angst and Hurt/Comfort | Angst with a Happy Ending | Emotional Hurt/Comfort | Fluff and Angst | One Shot | Tired Kim Seokjin | Jin,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You Series: Tumblr BTS fanfics [14]",seokjin,{'seokjin'}
https://golemlab.eu/graph/35980300,8,Christmas Drabble,It’s Christmas and your boyfriend has a surprise for you.,2021-12-26,486,Mature,F/M,Completed,Emotional Manipulation | Female Reader | Manipulation | Yandere | Yandere BTS | Yandere x Reader | yandere jin | yandere/reader - Freeform,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You, Yandere Jin x reader",seokjin,{'seokjin'}
https://golemlab.eu/graph/34749547,8,Back Then,You and Seokjin were just 1 year into your relationship and you started to have sexual fantasies and feelings for him. You knew you couldn’t act on it because of your parents and his fear of your dad. That all goes flying out the window when you get drunk one night.,2021-10-27,5916,Explicit,F/M,Completed,Dom Kim Seokjin | Jin | Drunk Sex | First Time | Oneshot | Oral Sex | Protective Kim Seokjin | Jin | Rough Oral Sex | Rough Sex | Size Kink | Soft Dom Kim Seokjin | Jin,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
https://golemlab.eu/graph/29902767,8,Deserving of You,Jin meets you outside work and you have a nice evening in as he makes you dinner and sings to you.,2021-03-07,1686,General Audiences,F/M,Completed,ALL THE FLUFF | Cooking | Fluff | Long day at work | One Shot | Rain | Singing | Sleepy Cuddles | cuteness | night in,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You Series: Tumblr BTS fanfics [15]",seokjin,{'seokjin'}
https://golemlab.eu/graph/39743571,7,platonically kissing,Seokjin has a strange request and you’re powerless to his pout.,2022-06-23,1435,Teen And Up Audiences,F/M,Completed,Childhood Friends | Fluff | Friends to Lovers | Kissing,Kim Seokjin | Jin/Reader Series: The Platonic Collection [6],seokjin,{'seokjin'}
https://golemlab.eu/graph/37268602,7,Cherry Topper [KSJ],"Seokjin is a chaotically fun-loving guy who works long and hard hours at his successful, family owned candy store named Kim’s Sweet’s Shop, located on the corner of Cherry Lane. Being consistently busy with the labor of his work schedule and attending college to finish off his masters program, he has a very little social life and definitely does not have time for dating on this romantic, hectic holiday. But from right under his nose, one of his many admirers just so happens to be the sugar-coated treat that he’s been missing out on.",2022-02-20,17692,Explicit,F/M,Completed,Candy | Food Sex | Mutual Pining | Oral Sex | Pining | Spanking | Unprotected Sex | Valentine's Day,Kim Seokjin | Jin/Reader,seokjin,{'seokjin'}
