communities,largest,largest_pct,smallest,average,median,singleton_count,model_id,rating,algorithm,edge_weight,resolution,nodes,edges,modularity,dataset
36,74,0.057902973395931145,2,35.5,34.0,0,80,Teen And Up Audiences,Leiden,1,2.5,1278,15542,0.31928424224430624,Model Evaluation Results
44,64,0.050078247261345854,2,29.045454545454547,27.5,0,81,Teen And Up Audiences,Louvain,1,3.0,1278,15542,0.2521978412059943,Model Evaluation Results
43,76,0.0594679186228482,2,29.72093023255814,30.0,0,82,Teen And Up Audiences,Leiden,1,3.0,1278,15542,0.3092530116814906,Model Evaluation Results
51,64,0.050078247261345854,2,25.058823529411764,25.0,0,83,Teen And Up Audiences,Louvain,1,3.5,1278,15542,0.24697158671980382,Model Evaluation Results
51,58,0.04538341158059468,2,25.058823529411764,24.0,0,84,Teen And Up Audiences,Leiden,1,3.5,1278,15542,0.3014473539729235,Model Evaluation Results
12,122,0.26991150442477874,2,37.666666666666664,27.5,0,85,Teen And Up Audiences,Louvain,2,1.0,452,2135,0.25229356487460014,Model Evaluation Results
12,132,0.2920353982300885,2,37.666666666666664,29.5,0,86,Teen And Up Audiences,Leiden,2,1.0,452,2135,0.3092691782437243,Model Evaluation Results
17,97,0.21460176991150443,2,26.58823529411765,26.0,0,87,Teen And Up Audiences,Louvain,2,1.5,452,2135,0.22970580120718215,Model Evaluation Results
17,73,0.16150442477876106,2,26.58823529411765,29.0,0,88,Teen And Up Audiences,Leiden,2,1.5,452,2135,0.29992310603359873,Model Evaluation Results
24,68,0.1504424778761062,2,18.833333333333332,16.0,0,89,Teen And Up Audiences,Louvain,2,2.0,452,2135,0.20050403769974096,Model Evaluation Results
23,64,0.1415929203539823,2,19.652173913043477,17.0,0,90,Teen And Up Audiences,Leiden,2,2.0,452,2135,0.2852381135200653,Model Evaluation Results
30,52,0.11504424778761062,2,15.066666666666666,13.0,0,91,Teen And Up Audiences,Louvain,2,2.5,452,2135,0.1868350242809498,Model Evaluation Results
27,53,0.1172566371681416,2,16.74074074074074,14.0,0,92,Teen And Up Audiences,Leiden,2,2.5,452,2135,0.2756558748196941,Model Evaluation Results
35,47,0.10398230088495575,2,12.914285714285715,10.0,0,93,Teen And Up Audiences,Louvain,2,3.0,452,2135,0.17724829875085601,Model Evaluation Results
33,48,0.10619469026548672,2,13.696969696969697,12.0,0,94,Teen And Up Audiences,Leiden,2,3.0,452,2135,0.26885585946283913,Model Evaluation Results
39,45,0.09955752212389381,2,11.58974358974359,10.0,0,95,Teen And Up Audiences,Louvain,2,3.5,452,2135,0.17122632377479904,Model Evaluation Results
40,46,0.10176991150442478,2,11.3,10.0,0,96,Teen And Up Audiences,Leiden,2,3.5,452,2135,0.25646452292284827,Model Evaluation Results
12,84,0.340080971659919,2,20.583333333333332,13.0,0,97,Teen And Up Audiences,Louvain,3,1.0,247,891,0.23400367118964419,Model Evaluation Results
11,83,0.3360323886639676,2,22.454545454545453,14.0,0,98,Teen And Up Audiences,Leiden,3,1.0,247,891,0.29751499280118804,Model Evaluation Results
15,52,0.21052631578947367,2,16.466666666666665,14.0,0,99,Teen And Up Audiences,Louvain,3,1.5,247,891,0.2050230856590737,Model Evaluation Results
14,53,0.2145748987854251,2,17.642857142857142,14.5,0,100,Teen And Up Audiences,Leiden,3,1.5,247,891,0.31342984653871303,Model Evaluation Results
21,48,0.19433198380566802,2,11.761904761904763,9.0,0,101,Teen And Up Audiences,Louvain,3,2.0,247,891,0.19073397058182645,Model Evaluation Results
22,49,0.19838056680161945,2,11.227272727272727,9.5,0,102,Teen And Up Audiences,Leiden,3,2.0,247,891,0.2938337105939051,Model Evaluation Results
26,41,0.1659919028340081,2,9.5,7.5,0,103,Teen And Up Audiences,Louvain,3,2.5,247,891,0.17082316070424544,Model Evaluation Results
25,42,0.1700404858299595,2,9.88,7.0,0,104,Teen And Up Audiences,Leiden,3,2.5,247,891,0.2853444030024652,Model Evaluation Results
30,38,0.15384615384615385,2,8.233333333333333,6.0,0,105,Teen And Up Audiences,Louvain,3,3.0,247,891,0.15941445589298814,Model Evaluation Results
28,38,0.15384615384615385,2,8.821428571428571,7.0,0,106,Teen And Up Audiences,Leiden,3,3.0,247,891,0.27367199870005715,Model Evaluation Results
32,38,0.15384615384615385,2,7.71875,6.0,0,107,Teen And Up Audiences,Louvain,3,3.5,247,891,0.15367401540061687,Model Evaluation Results
33,38,0.15384615384615385,2,7.484848484848484,6.0,0,108,Teen And Up Audiences,Leiden,3,3.5,247,891,0.26168405592273913,Model Evaluation Results
8,68,0.4171779141104294,2,20.375,9.5,0,109,Teen And Up Audiences,Louvain,4,1.0,163,481,0.21215100851554364,Model Evaluation Results
8,64,0.39263803680981596,2,20.375,13.0,0,110,Teen And Up Audiences,Leiden,4,1.0,163,481,0.2841576583780325,Model Evaluation Results
12,42,0.25766871165644173,2,13.583333333333334,9.5,0,111,Teen And Up Audiences,Louvain,4,1.5,163,481,0.18174497152612462,Model Evaluation Results
13,43,0.26380368098159507,2,12.538461538461538,9.0,0,112,Teen And Up Audiences,Leiden,4,1.5,163,481,0.3001975268087535,Model Evaluation Results
16,37,0.22699386503067484,2,10.1875,8.0,0,113,Teen And Up Audiences,Louvain,4,2.0,163,481,0.1625908506329124,Model Evaluation Results
15,37,0.22699386503067484,2,10.866666666666667,9.0,0,114,Teen And Up Audiences,Leiden,4,2.0,163,481,0.2876889363375852,Model Evaluation Results
19,32,0.19631901840490798,2,8.578947368421053,7.0,0,115,Teen And Up Audiences,Louvain,4,2.5,163,481,0.14609224016944322,Model Evaluation Results
21,33,0.20245398773006135,2,7.761904761904762,6.0,0,116,Teen And Up Audiences,Leiden,4,2.5,163,481,0.2590129710711832,Model Evaluation Results
21,32,0.19631901840490798,2,7.761904761904762,7.0,0,117,Teen And Up Audiences,Louvain,4,3.0,163,481,0.1387503307918533,Model Evaluation Results
21,32,0.19631901840490798,2,7.761904761904762,6.0,0,118,Teen And Up Audiences,Leiden,4,3.0,163,481,0.2648458469664292,Model Evaluation Results
25,31,0.1901840490797546,1,6.52,6.0,3,119,Teen And Up Audiences,Louvain,4,3.5,163,481,0.12953971087705868,Model Evaluation Results
25,31,0.1901840490797546,1,6.52,6.0,3,120,Teen And Up Audiences,Leiden,4,3.5,163,481,0.2544810923189303,Model Evaluation Results
8,49,0.3798449612403101,2,16.125,8.5,0,121,Teen And Up Audiences,Louvain,5,1.0,129,322,0.20884356209918845,Model Evaluation Results
8,52,0.40310077519379844,2,16.125,9.0,0,122,Teen And Up Audiences,Leiden,5,1.0,129,322,0.27965742062420434,Model Evaluation Results
12,45,0.3488372093023256,2,10.75,6.5,0,123,Teen And Up Audiences,Louvain,5,1.5,129,322,0.19012387125057054,Model Evaluation Results
13,40,0.31007751937984496,2,9.923076923076923,6.0,0,124,Teen And Up Audiences,Leiden,5,1.5,129,322,0.30416457698391275,Model Evaluation Results
15,34,0.26356589147286824,2,8.6,6.0,0,125,Teen And Up Audiences,Louvain,5,2.0,129,322,0.1621271552545957,Model Evaluation Results
15,35,0.2713178294573643,2,8.6,6.0,0,126,Teen And Up Audiences,Leiden,5,2.0,129,322,0.29805466610084497,Model Evaluation Results
17,32,0.24806201550387597,2,7.588235294117647,6.0,0,127,Teen And Up Audiences,Louvain,5,2.5,129,322,0.15072113193990294,Model Evaluation Results
17,32,0.24806201550387597,2,7.588235294117647,6.0,0,128,Teen And Up Audiences,Leiden,5,2.5,129,322,0.2846823039234598,Model Evaluation Results
20,31,0.24031007751937986,1,6.45,4.5,1,129,Teen And Up Audiences,Louvain,5,3.0,129,322,0.13567337086190606,Model Evaluation Results
22,30,0.23255813953488372,1,5.863636363636363,4.0,2,130,Teen And Up Audiences,Leiden,5,3.0,129,322,0.2714835461594847,Model Evaluation Results
23,30,0.23255813953488372,1,5.608695652173913,4.0,3,131,Teen And Up Audiences,Louvain,5,3.5,129,322,0.12785751883930474,Model Evaluation Results
25,30,0.23255813953488372,1,5.16,3.0,5,132,Teen And Up Audiences,Leiden,5,3.5,129,322,0.2646551058986923,Model Evaluation Results
7,41,0.40594059405940597,3,14.428571428571429,7.0,0,133,Teen And Up Audiences,Louvain,6,1.0,101,230,0.19641612310393547,Model Evaluation Results
6,49,0.48514851485148514,3,16.833333333333332,6.5,0,134,Teen And Up Audiences,Leiden,6,1.0,101,230,0.25717391304347825,Model Evaluation Results
9,36,0.3564356435643564,3,11.222222222222221,7.0,0,135,Teen And Up Audiences,Louvain,6,1.5,101,230,0.17830078278772848,Model Evaluation Results
9,36,0.3564356435643564,3,11.222222222222221,7.0,0,136,Teen And Up Audiences,Leiden,6,1.5,101,230,0.28680529300567104,Model Evaluation Results
16,31,0.3069306930693069,2,6.3125,4.0,0,137,Teen And Up Audiences,Louvain,6,2.0,101,230,0.14450523241385274,Model Evaluation Results
16,31,0.3069306930693069,2,6.3125,4.0,0,138,Teen And Up Audiences,Leiden,6,2.0,101,230,0.27237240075614355,Model Evaluation Results
17,30,0.297029702970297,2,5.9411764705882355,4.0,0,139,Teen And Up Audiences,Louvain,6,2.5,101,230,0.13675415284754838,Model Evaluation Results
17,30,0.297029702970297,1,5.9411764705882355,4.0,1,140,Teen And Up Audiences,Leiden,6,2.5,101,230,0.27294896030245736,Model Evaluation Results
18,30,0.297029702970297,1,5.611111111111111,3.5,1,141,Teen And Up Audiences,Louvain,6,3.0,101,230,0.1352038495932591,Model Evaluation Results
21,29,0.2871287128712871,1,4.809523809523809,3.0,4,142,Teen And Up Audiences,Leiden,6,3.0,101,230,0.2578544423440452,Model Evaluation Results
21,29,0.2871287128712871,1,4.809523809523809,3.0,3,143,Teen And Up Audiences,Louvain,6,3.5,101,230,0.12437730525726862,Model Evaluation Results
23,29,0.2871287128712871,1,4.391304347826087,3.0,5,144,Teen And Up Audiences,Leiden,6,3.5,101,230,0.2475803402646503,Model Evaluation Results
12,449,0.25968768074031234,2,144.08333333333334,101.0,0,145,Mature,Louvain,1,1.0,1729,35899,0.27803733056522945,Model Evaluation Results
13,513,0.2967032967032967,2,133.0,73.0,0,146,Mature,Leiden,1,1.0,1729,35899,0.29293439211087685,Model Evaluation Results
25,204,0.11798727588201273,2,69.16,63.0,0,147,Mature,Louvain,1,1.5,1729,35899,0.23832401889209168,Model Evaluation Results
20,268,0.1550028918449971,2,86.45,85.5,0,148,Mature,Leiden,1,1.5,1729,35899,0.2805347208761758,Model Evaluation Results
