s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,polyship_human_flag,member,members_found
https://golemlab.eu/graph/14147745,743,Just Let Me Love You,"You are a journalist and devoted member of ARMY who gets the assignment of a lifetime – interviewing BTS. You’ve been waiting in a hotel conference room all day for your 10 minutes with the guys. Finally, your name is called.",2018-03-30,34291,Explicit,F/M,Completed,Angst and Romance | Drunk Sex | Eventual Happy Ending | Eventual Romance | Flirting | Oral Sex | Sex,Kim Namjoon | RM/Reader,false,namjoon,{'namjoon'}
https://golemlab.eu/graph/27910816,740,For the Books: An Unlikely Holiday Romance,Kim Namjoon begrudgingly agrees to be part of the local library's annual holiday date auction. You are duped into buying a ticket to the library's annual holiday date auction by your best friend. Both you and Namjoon are dreading the actual event. Neither of you expects what happens next.,2020-12-07,45925,Explicit,F/M,Completed,Alternate Universe - Library | Alternate Universe - Modern Setting | Christmas | Date Auction | Fluff and Smut | Happy Ending | Light Angst | Romantic Comedy | Shameless Smut,Kim Namjoon | RM/Reader,false,namjoon,{'namjoon'}
https://golemlab.eu/graph/7489863,716,The Detention,"PROMPT: ""We can share.""",2016-07-15,1315,Teen And Up Audiences,F/M,Completed,Alternate Universe - High School | Good Girl/Bad Boy | Tumblr Ask Box Fic,Jeon Jungkook/Reader,false,jungkook,{'jungkook'}
https://golemlab.eu/graph/11997834,715,one good purr (deserves another),"Maybe it wasn't the best idea to visit Taehyung just before your heat. [Shifter au / fox!Taehyung, cat!Reader]",2017-09-04,31148,Mature,F/M,Completed,Alternate Universe | Fluff and Smut | Hybrids | Shifters,Kim Taehyung | V/Reader,false,taehyung,{'taehyung'}
https://golemlab.eu/graph/23516674,710,Navy Blue,"You live in a world where having a hybrid is normal. Your best friend Taehyung has his own cat hybrid named Yoongi, and while the pair may seem like total opposites, their bond is obvious. You begin to consider getting one to have as a companion to come home to. You could never anticipate just how important he will become to you.",2020-04-06,56426,Explicit,F/M,Completed,Alternate Universe | Angst | Bunny Hybrid Jeon Jungkook | Cat Hybrid Min Yoongi | Suga | Eventual Smut | Fluff and Angst | Fluff and Smut | Hybrids | Jeon Jungkook & Kim Taehyung | V are Best Friends | Jeon Jungkook is a Sweetheart,Jeon Jungkook/Reader,false,jungkook,{'jungkook'}
https://golemlab.eu/graph/16206119,696,The Dragon's Lair,"You enter the ridiculously named 'The Fairy Pawmother,"" a hybrid shelter, with very low expectations. Instead, you meet a beautiful Dragon hybrid named Namjoon, gaining a family and so much more.",2018-10-06,31393,Explicit,F/M,In-Progress,Alternate Universe - Fantasy | Dragon Hybrid Namjoon | Fantasy Hybrids | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrid Kim Seokjin | Jin | Hybrid Kim Taehyung | V | Hybrid Min Yoongi | Suga | Hybrid Park Jimin | Hybrids | extreme fluff | some smut,Kim Namjoon | RM/Reader,false,namjoon,{'namjoon'}
https://golemlab.eu/graph/11919060,692,Written in the stars // Min Yoongi x Reader,"You meet your soulmate on a gloomy day, and contrary to his resting bitch face he turns out to be the bubbling light of your life.",2017-08-27,4555,General Audiences,F/M,Completed,Alternate Universe - Soulmates | Comedy | Fluff | Romance | Romantic Comedy | Romantic Soulmates | Soulmate-Identifying Marks | Soulmates,"Min Yoongi | Suga/Reader, Min Yoongi | Suga/You",false,yoongi,{'yoongi'}
https://golemlab.eu/graph/18448064,688,of heartstrings and hollow smiles (you're safe with me),"Namjoon is crying now, and your heart aches because no, Joonie, don’t cry for me, please , but you can’t will your mouth to open, the cotton in your veins and the fruit flies in your chest choking you up, restricting movement. Or so you thought. Before you can register your own actions, shaking fingertips brush against the soft cheek of the man crouching before you, as though he was a mirage and the slightest touch would cause him to flicker away into nothingness. “Joon.” “Shh, shh baby. I’m here, kid. I’ve got you. It’s okay, I’ll take you away from here.” --- or, the one where you and Namjoon always manage to find your way back to one another.",2019-04-13,147118,Mature,F/M,Completed,Abusive Relationships | Alternate Universe - College/University | Angst and Hurt/Comfort | Angst with a Happy Ending | But No Actual Suicide | Denial of Feelings | Eating Disorder Not Otherwise Specified | Emotional Manipulation | Flashbacks | Friends to Lovers | Happy Ending | Mentions of Suicide | Miscarriage | Nightmares | OT7 | Panic Attacks | Protective Bangtan Boys | Rape/Non-con Elements | Reader-Insert | Self-Doubt | Self-Esteem Issues | Sexual Content | Sexual Harrassment | Slow Burn | Slut Shaming | Sweet Kim Namjoon | RM | Victim Blaming | Violence | i love namjoon so much | the dream | the reader's parents are assholes | you sleep on namjoon's chest a lot,Kim Namjoon | RM/Reader,false,namjoon,{'namjoon'}
https://golemlab.eu/graph/23259202,686,Snapped (Yandere Taehyung x Reader),"Your relationship with your boyfriend hasn't been going well lately. His twin, Kim Taehyung, decides to take advantage of this.",2020-03-22,21811,Explicit,F/M,In-Progress,Abortion mention | Daddy Kink | Dom Kim Taehyung | V | Dom/sub | Drunk Sex | Emotional Infidelity | Emotional Manipulation | Established Relationship | Infidelity | Love Triangles | Missionary Position | Non-Consensual Oral Sex | Non-Consensual Spanking | Obsession | Obsessive Behavior | Oral Sex | Photography | Reader-Insert | Smut | Somnophilia | Spanking | Stalker Taehyung | Stalking | Taehyung smut | Twins | Victim Blaming | Woman on Top | Yandere | Yandere BTS | Yandere Bangtan Boys | Yandere Bangtan Boys | BTS | Yandere Smut | bts smut | kim taehyung smut | kpopyandere | obsessive taehyung | pregnancy mention | unhealthy relationship | yn has low self-esteem,Kim Taehyung | V/Reader,false,taehyung,{'taehyung'}
https://golemlab.eu/graph/13647444,670,wine.,He makes staying after-hours absolutely worthwhile. Yoongi x Reader,2018-02-11,26011,Explicit,F/M,Completed,Alternate Universe - Restaurant | Bartender Min Yoongi | Suga | Dirty Talk | Sexting | Sexual Tension | Smut | dom!yoongi is a mood | i might have a bartender!yoongi kink tbh | i'm not even sorry | this is self-indulgent filth,Min Yoongi | Suga/Reader,false,yoongi,{'yoongi'}
https://golemlab.eu/graph/14312373,650,The Librarian,Yoongi is a librarian. You are a Ph.D candidate who spends a lot of time in the library. And you can't stop thinking about him.,2018-04-14,6642,Explicit,F/M,Completed,Angst | Eventual Happy Ending | Eventual Smut | Librarian Min Yoongi | Masturbation | Oral Sex | Porn With Plot | Semi-Public Sex | Sex | Smut | Vaginal Fingering,Min Yoongi | Suga/Reader,false,yoongi,{'yoongi'}
https://golemlab.eu/graph/15671640,634,The Devil's Change Up,"Majoring in athletic training means you have mandatory observation hours to perform with every single sports team at your school throughout the year, and so far it’s been going pretty great. However, when regrets from your past cause your rotation with the baseball team to become a little rocky, there’s one star pitcher who says that he can make it all better.",2018-08-14,41256,Explicit,F/M,Completed,Alternate Universe - College/University | Alternate Universe - Sports | Demeaning Names | Dirty Talk | Mild Dom Undertones | Semi-Public Sex | Smut | Unprotected Sex | he's cocky but with a fluffy side | non-penetrative bat play | pitcher!jungkook | such as slut but used in an endearing way | things go down in the dugout at night,Jeon Jungkook/Reader,false,jungkook,{'jungkook'}
https://golemlab.eu/graph/10575603,634,Begin,(a much less smutty) prequel to Sharing is Caring. Follows the reader and Jimin's relationship as they develop feelings for one another.,2017-04-09,30000,Explicit,F/M,Completed,Angst and Fluff and Smut | Anxiety | Anxiety Attacks | Anxiety Disorder | Cute Park Jimin | Domestic Fluff | Eventual Fluff | Eventual Relationships | Eventual Romance | Eventual Sex | Eventual Smut | Fanfiction | Fluff | Fluff and Angst | Fluff and Smut | Jeon Jungkook-Centric | Light Angst | Panic Attacks | Park Jimin Is a Sweetheart | Park Jimin-centric | Past Abuse | Past Relationship(s) | Past Sexual Abuse | Reader-Insert | Reader-Interactive | Shyness | Social Anxiety | Top Park Jimin | best friend Jeon Jungkook | ok enough tags,Park Jimin (BTS)/Reader Series: Sharing is Caring [2],false,jimin,{'jimin'}
